   0 0.50 3.55 8.18 8.85 5.58 5.44 0.17 5.12 4.83 0.59 6.28 8.14 4.46 8.61
0.50    0 6.13 5.96 1.84 8.77 7.87 3.86 7.27 8.23 1.72 6.98 5.52 3.88 0.46
3.55 6.13    0 0.11 3.70 3.58 2.41 2.17 0.48 6.53 6.49 2.74 4.87 5.30 1.28
8.18 5.96 0.11    0 2.43 1.31 1.02 2.18 8.56 4.06 6.59 6.46 6.85 7.32 3.18
8.85 1.84 3.70 2.43    0 7.41 3.33 2.71 3.21 0.16 5.15 2.62 5.96 6.49 6.13
5.58 8.77 3.58 1.31 7.41    0 3.02 4.62 6.25 0.22 5.31 8.30 8.60 6.75 2.19
5.44 7.87 2.41 1.02 3.33 3.02    0 0.51 8.70 4.51 6.25 6.45 7.12 0.16 6.15
0.17 3.86 2.17 2.18 2.71 4.62 0.51    0 0.10 7.73 0.57 8.18 4.70 2.68 0.00
5.12 7.27 0.48 8.56 3.21 6.25 8.70 0.10    0 5.79 3.12 6.10 1.56 7.18 3.51
4.83 8.23 6.53 4.06 0.16 0.22 4.51 7.73 5.79    0 5.57 5.12 4.13 7.35 4.32
0.59 1.72 6.49 6.59 5.15 5.31 6.25 0.57 3.12 5.57    0 5.27 8.76 1.01 2.59
6.28 6.98 2.74 6.46 2.62 8.30 6.45 8.18 6.10 5.12 5.27    0 3.26 2.09 0.38
8.14 5.52 4.87 6.85 5.96 8.60 7.12 4.70 1.56 4.13 8.76 3.26    0 6.93 6.90
4.46 3.88 5.30 7.32 6.49 6.75 0.16 2.68 7.18 7.35 1.01 2.09 6.93    0 2.17
8.61 0.46 1.28 3.18 6.13 2.19 6.15 0.00 3.51 4.32 2.59 0.38 6.90 2.17    0
